Exponents-and-surds;Logarithms;Equations;Analytical-geometry;Functions-and-graphs;Euclidean-geometry;Circles-angles-and-angular-movement;Trigonometry;Finance-growth-and-decays;Mensuration
Laws of exponents and exponential equations;The relationship between logarithms and exponents;Revising factorisation of quadratic equations;The equation of a straight line through two points;Introduction;Revision of concepts and theorems learned in earlier grades;Parts of a circle;Revision: Trigonometric ratios;Revision: Simple and compound interest;What is surface area?
Simplifying expressions whose bases are variables;Laws of logarithms;Solving quadratic equations using factorisation;The angle of inclination of a straight line;"Revision: The graph of f(x) = x^2; a = 1";An introduction to circles;Circular measure;Solving triangles;Depreciation;Surface area of prisms
Solving exponential equations;Solving exponential equations of the form: a^x = b;Solving quadratic equations using the quadratic formula;The equation of a line through a point and parallel to a given line;The effect of a on the graph of f(x) = x^2;Parts of a circle and basic terms;Inscribed angle;Solving triangles;Nominal and effective interest rates;Surface area of cylinders
Rational (fractional) exponents;Solving more equations involving logarithms;The discriminant: Δ = b^2 − 4ac;The equation of a line through a point and perpendicular to a given line;The effect of b on the graph of f(x) = ax^2;Chords and radii/radiuses;Converting angle measure;The cosine rule;Timelines;Surface area of pyramids
The cube root;exercise;The relationship between the discriminant and the graph of the quadratic equation;exercise;The effect of c on the graph of f(x) = ax^2;Angles in a circle;Length of a circular arc;The area rule;exercise;Surface area of right cones
Expressions of the form a^(1/n);Summary;Solving inequalities graphically;Summary;The effect of q on the graph of f(x) = a(x + p)^2 + q;Cyclic quadrilaterals;Sector area and sector length;Trigonometric graphs;Summary;Surface area of a sphere
Simplifying expressions that contain surds;;Simultaneous equations in two unknowns;;Using critical points to draw the graph of f(x) = ax^2 + bx + c;Tangents, secants and chords;Segment;The graphs of y = sin(x ± p) and y = cos(x ± p);;Surface area of composite figures
Solving exponential equations that contain rational exponents;;Word problems;;An exponential graph: y = abx;exercise;The relationship between a segment’s height, diameter and its width;The graphs;;The effect that changing dimensions will have on surface area
Surds;;Changing the subject of the formula;;"The hyperbola: y = a/x ; a ≠ 0";Summary;Angular and circumferential velocity;Solving trigonometric equations;;Volume of right prisms
exercise;;exercise;;The equation of the circle with the centre at the origin: x^2 + y^2 = r^2;;exercise;Trigonometric identities;;Volume of right prisms
Summary;;Summary;;exercise;;Summary;The reduction formula;;Volume of pyramids
;;;;Summary;;;exercise;;Volume of cones
;;;;;;;Summary;;Volume of a sphere
;;;;;;;;;Volume of composite figures
;;;;;;;;;The effect that changing dimensions will have on volume
;;;;;;;;;Mid-ordinate rule
