Complex-numbers;Polynomials;Differentiation;Integration;Analytical-geometry;Euclidean-Geometry-Proportionality-and-similarity;Trigonometry;Financial-mathematics
Revision;Third degree polynomials;The concept of a limit;Introduction;The equation of the circle with the centre at the origin;Ratio;Revision;Revision
Complex numbers;Dividing numbers;The average gradient of a curve between two points;The indefinite integrals;The equation of the tangent to a circle;Proportion;Solving problems in 2-D and 3-D using trigonometry;Annuities
Addition, subtraction, division and multiplication of complex numbers;Division of polynomials;Finding the gradient of a curve (derivative) at a point using the first principles;Definite integrals;Intersecting circles and straight lines;Similar figures;Summary;Sinking funds
Complex conjugates;Revision of function notation;Differentiating using the power rule;The indefinite integral of an exponential function of the form f(x) = e^x;The ellipse;Summary;exercise;Summary
The Argand diagram;The Remainder Theorem;The equation of a tangent at a given point;The indefinite integral of an exponential function of the form f(x) = e^ax;Summary;exercise;;Revision
The argument of a complex number;The Factor Theorem;Cubic functions;The indefinite integral of an exponential function of the form f(x) = a^x, a > 0;exercise;;;
The trigonometric or polar form of a complex number;Factorising a cubic function;Applications of differentiation;The indefinite integral of an exponential function of the form f(x) = a^nx;;;;
From the trigonometric form to the Cartesian form of a complex number;Solving cubic equations;Summary;Summary;;;;
Summary;Summary;exercise;exercise;;;;
exercise;exercise;;;;;;
